category,item_title,pdf_title,pdf_url,item_url
DRE / Instrumentos de Gestão,QUAR DRE 2023,QUAR DRE 2023,https://www.madeira.gov.pt/Portals/15/documentos/1_DRE/InstrumentosGestao/Quadro%20de%20Avaliacao%20e%20responsabilizacao%20(QUAR)/QUAR_DRE_2023_site.pdf,https://www.madeira.gov.pt/dre/Estrutura/DRE/A-Dire%C3%A7%C3%A3o/Instrumentos-de-Gest%C3%A3o/ctl/Read/mid/6139/InformacaoId/175019/UnidadeOrganicaId/32/CatalogoId/0
DRE / Instrumentos de Gestão,QUAR DRE 2022,QUAR DRE 2022,https://www.madeira.gov.pt/Portals/15/documentos/1_DRE/InstrumentosGestao/Quadro%20de%20Avaliacao%20e%20responsabilizacao%20(QUAR)/QUAR_DRE_2022.pdf,https://www.madeira.gov.pt/dre/Estrutura/DRE/A-Dire%C3%A7%C3%A3o/Instrumentos-de-Gest%C3%A3o/ctl/Read/mid/6139/InformacaoId/148992/UnidadeOrganicaId/32/CatalogoId/0
DRE / Instrumentos de Gestão,QUAR DRE 2021,QUAR DRE 2021,https://www.madeira.gov.pt/Portals/15/documentos/1_DRE/InstrumentosGestao/Quadro%20de%20Avaliacao%20e%20responsabilizacao%20(QUAR)/QUAR_DRE_2021.pdf,https://www.madeira.gov.pt/dre/Estrutura/DRE/A-Dire%C3%A7%C3%A3o/Instrumentos-de-Gest%C3%A3o/ctl/Read/mid/6139/InformacaoId/114027/UnidadeOrganicaId/32/CatalogoId/0
DRE / Instrumentos de Gestão,QUAR DRE 2020,QUAR DRE 2020,https://www.madeira.gov.pt/Portals/15/documentos/1_DRE/InstrumentosGestao/Quadro%20de%20Avaliacao%20e%20responsabilizacao%20(QUAR)/QUAR_DRE_2020_final.pdf,https://www.madeira.gov.pt/dre/Estrutura/DRE/A-Dire%C3%A7%C3%A3o/Instrumentos-de-Gest%C3%A3o/ctl/Read/mid/6139/InformacaoId/68697/UnidadeOrganicaId/32/CatalogoId/0
DRE / Instrumentos de Gestão,QUAR DRE 2019,QUAR DRE 2019,https://www.madeira.gov.pt/Portals/15/documentos/1_DRE/InstrumentosGestao/Quadro%20de%20Avaliacao%20e%20responsabilizacao%20(QUAR)/QUAR_DRE_2019.pdf,https://www.madeira.gov.pt/dre/Estrutura/DRE/A-Dire%C3%A7%C3%A3o/Instrumentos-de-Gest%C3%A3o/ctl/Read/mid/6139/InformacaoId/48441/UnidadeOrganicaId/32/CatalogoId/0
DRE / Instrumentos de Gestão,QUAR DRE 2018,QUAR DRE 2018,https://www.madeira.gov.pt/Portals/15/documentos/1_DRE/InstrumentosGestao/Quadro%20de%20Avaliacao%20e%20responsabilizacao%20(QUAR)/QUAR_DRE_2018.pdf,https://www.madeira.gov.pt/dre/Estrutura/DRE/A-Dire%C3%A7%C3%A3o/Instrumentos-de-Gest%C3%A3o/ctl/Read/mid/6139/InformacaoId/43827/UnidadeOrganicaId/32/CatalogoId/0
DRE / Instrumentos de Gestão,QUAR DRE 2017,QUAR DRE 2016,https://www.madeira.gov.pt/Portals/15/documentos/1_DRE/InstrumentosGestao/Quadro%20de%20Avaliacao%20e%20responsabilizacao%20(QUAR)/QUAR_DRE_2016.pdf,https://www.madeira.gov.pt/dre/Estrutura/DRE/A-Dire%C3%A7%C3%A3o/Instrumentos-de-Gest%C3%A3o/ctl/Read/mid/6139/InformacaoId/43828/UnidadeOrganicaId/32/CatalogoId/0
DRE / Instrumentos de Gestão,QUAR DRE 2016,QUAR DRE 2016,https://www.madeira.gov.pt/Portals/15/documentos/1_DRE/InstrumentosGestao/Quadro%20de%20Avaliacao%20e%20responsabilizacao%20(QUAR)/QUAR_DRE_2017.pdf,https://www.madeira.gov.pt/dre/Estrutura/DRE/A-Dire%C3%A7%C3%A3o/Instrumentos-de-Gest%C3%A3o/ctl/Read/mid/6139/InformacaoId/43830/UnidadeOrganicaId/32/CatalogoId/0
DRE / Instrumentos de Gestão,Balanço Social da Direção Regional de Educação referente ao ano civil de 2024,Balanço Social 2024,https://www.madeira.gov.pt/Portals/15/Users/049/05/305/BALAN%C3%87O%20SOCIAL%202024%20-%20Vers%C3%A3o%20Final.pdf,https://www.madeira.gov.pt/dre/Estrutura/DRE/A-Dire%C3%A7%C3%A3o/Instrumentos-de-Gest%C3%A3o/ctl/Read/mid/6140/InformacaoId/250803/UnidadeOrganicaId/32/CatalogoId/0
DRE / Instrumentos de Gestão,Balanço Social da Direção Regional de Educação referente ao ano civil de 2023,Balanço Social 2023,https://www.madeira.gov.pt/Portals/15/Users/049/05/305/BALAN%C3%87O%20SOCIAL%202023.pdf,https://www.madeira.gov.pt/dre/Estrutura/DRE/A-Dire%C3%A7%C3%A3o/Instrumentos-de-Gest%C3%A3o/ctl/Read/mid/6140/InformacaoId/221078/UnidadeOrganicaId/32/CatalogoId/0
