publication_title,pdf_title,pdf_url,publication_url,publication_type,date
Cómo contratar el agua si soy un ayuntamiento,Cómo contratar el agua si soy un ayuntamiento,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/Como_contratar_el_agua_ayuntamientos.pdf/d3346e64-03a8-87db-fa1b-bc1fce05a9cf,https://www.canaldeisabelsegunda.es/publicaciones,nuestros-clientes,2023-01-01
Informe de sostenibilidad 2021,Informe de sostenibilidad 2021,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/Informe+Sostenibilidad+2021.pdf/e9304186-42b2-76ee-c206-7a538fddf402,https://www.canaldeisabelsegunda.es/publicaciones,corporativas,2022-12-01
Informe de Sostenibilidad 2020,Informe de Sostenibilidad 2020,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/Informe_Sostenibilidad_2020.pdf/606fa83f-d763-251a-e836-6bcd90f0d5ba,https://www.canaldeisabelsegunda.es/publicaciones,corporativas,2022-11-01
Cómo contratar mi acometida de saneamiento si soy un particular,Cómo contratar mi acometida de saneamiento si soy un particular,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/Info_Saneamiento_particulares.pdf/2798e8f8-bd82-fe20-5927-dc2e283e1781,https://www.canaldeisabelsegunda.es/publicaciones,nuestros-clientes,2022-10-01
Guía práctica de gestión de vertidos para empresas,Guía práctica de gestión de vertidos para empresas,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/Gu%C3%ADa+pr%C3%A1ctica+de+gesti%C3%B3n+de+vertidos+para+empresas.pdf/e9c596f4-06ca-940a-8ee3-ad704a36daa9,https://www.canaldeisabelsegunda.es/publicaciones,nuestros-clientes,2022-09-01
Matilda y el monstruo de las toallitas,Matilda y el monstruo de las toallitas,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/C%C3%B3mic_Las+toallitas+a+la+papelera_Canal+de+Isabel+II.pdf/53de0f51-dcde-062a-401b-2cf30999b4a3,https://www.canaldeisabelsegunda.es/publicaciones,our-clients,2022-08-01
10 compromisos claros como el agua de Madrid,10 compromisos claros como el agua de Madrid,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/10+Compromisos+claros+como+el+agua+de+Madrid_Canal+de+Isabel+II.pdf/6884a57d-2700-0ebb-5f16-126c5c82d395,https://www.canaldeisabelsegunda.es/publicaciones,nuestros-clientes,2022-07-01
El valor de cada gota,El valor de cada gota,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/El+valor+de+cada+gota.pdf/5a3ecb2b-f6f8-8e13-adc3-d47bf83b38d0,https://www.canaldeisabelsegunda.es/publicaciones,nuestros-clientes,2022-06-01
Cómo contratar el agua si soy un particular,Cómo contratar el agua si soy un particular,https://www.canaldeisabelsegunda.es/documents/20143/23525514/Como_contratar_el_agua_particulares.pdf/a253674c-9745-4545-3ea2-ba8c4801b734?t=1677677729297,https://www.canaldeisabelsegunda.es/publicaciones,nuestros-clientes,2022-05-01
El reto del cambio climático en la Comunidad de Madrid,El reto del cambio climático en la Comunidad de Madrid,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/El+reto+del+cambio+clim%C3%A1tico+en+la+Comunidad+de+Madrid.pdf/0039760d-f901-5cd6-85cc-a88dff7315c2,https://www.canaldeisabelsegunda.es/publicaciones,corporativas,2021-12-01
Guía fácil para cuidar nuestros ríos,Guía fácil para cuidar nuestros ríos,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/GuiaFacilparaCuidarNuestrosRios.pdf/cc4a2059-aafc-4556-9a32-4094852866e1,https://www.canaldeisabelsegunda.es/publicaciones,nuestros-clientes,2021-11-01
Guía para proteger tu instalación del frío,Guía para proteger tu instalación del frío,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/Gu%C3%ADa+f%C3%A1cil+para+proteger+tu+instalaci%C3%B3n+del+fr%C3%ADo_111019.pdf/f20c6148-213c-10b2-b912-5746081c016b,https://www.canaldeisabelsegunda.es/publicaciones,nuestros-clientes,2021-10-01
Guía para detectar fugas de agua en tu instalación,Guía para detectar fugas de agua en tu instalación,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/Guia+para+detectar+fugas+de+agua.pdf/99b337c3-c518-fce0-92dc-c532bca73d48,https://www.canaldeisabelsegunda.es/publicaciones,our-clients,2021-09-01
El ciclo integral del agua en la Comunidad de Madrid,El ciclo integral del agua en la Comunidad de Madrid,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/El+ciclo+integral+del+agua_Canal+de+Isabel+II_2021.pdf/8a55b245-d4b7-1e7c-d26c-0cf0c660fd4b,https://www.canaldeisabelsegunda.es/publicaciones,ciclo-del-agua,2021-08-01
Captación,Captación,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/captacion.pdf/6a14b425-8e02-bf87-6250-94d48d350c61,https://www.canaldeisabelsegunda.es/publicaciones,ciclo-del-agua,2021-07-01
Tratamiento,Tratamiento,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/Tratamiento_OK.pdf/b323bb53-9268-f003-d27e-5bdc1b4f5e88,https://www.canaldeisabelsegunda.es/publicaciones,ciclo-del-agua,2021-06-01
