category,title,pdf_url,source_url,date
Câmara Municipal / Atas,Ata Número 29/2025 de 24 de julho - Reunião Ordinária,https://cmfdoc.funchal.pt/media/k2/attachments/ATA 2025.07.24.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 28/2025 de 17 de julho - Reunião Ordinária,https://cmfdoc.funchal.pt/media/k2/attachments/ATA 2025.07.17.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 27/2025 de 10 de julho - Reunião Ordinária,https://cmfdoc.funchal.pt/media/k2/attachments/ATA 2025.07.10.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 26/2025 de 3 de julho - Reunião Ordinária,https://cmfdoc.funchal.pt/media/k2/attachments/ATA 2025.07.03.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 25/2025 de 26 de junho - Reunião Ordinária,https://cmfdoc.funchal.pt/media/k2/attachments/ATA 2025.06.26.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 24/2025 de 17 de junho - Reunião Ordinária,https://cmfdoc.funchal.pt/media/k2/attachments/ATA 2025.06.17.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 23/2025 de 12 de junho - Reunião Ordinária,https://cmfdoc.funchal.pt/media/k2/attachments/ATA 2025.06.12.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 22/2025 de 5 de junho - Reunião Ordinária,https://cmfdoc.funchal.pt/media/k2/attachments/ATA 2025.06.05.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 21/2025 de 29 de maio - Reunião Ordinária,https://cmfdoc.funchal.pt/media/k2/attachments/ATA 2025.05.29.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 20/2025 de 22 de maio - Reunião Ordinária,https://cmfdoc.funchal.pt/media/k2/attachments/ATA 2025.05.22.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 19/2025 de 15 de maio - Reunião Ordinária,https://cmfdoc.funchal.pt/media/k2/attachments/ATA 2025.05.15.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 18/2025 de 8 de maio - Reunião Ordinária,https://cmfdoc.funchal.pt/media/k2/attachments/ATA 2025.05.08.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 17/2025 de 30 de Abril - Reunião Ordinária,https://cmfdoc.funchal.pt/media/k2/attachments/ATA 2025.04.30.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 16/2025 de 24 de Abril - Reunião Ordinária,https://cmfdoc.funchal.pt/media/k2/attachments/ATA 2025.04.24.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 15/2025 de 16 de Abril - Reunião Ordinária,https://cmfdoc.funchal.pt/media/k2/attachments/ATA 2025.04.16.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 14/2025 de 10 de Abril - Reunião Ordinária,https://cmfdoc.funchal.pt/media/k2/attachments/ATA_2025.04.10.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 13/2025 de 3 de Abril - Reunião Ordinária,https://cmfdoc.funchal.pt/media/k2/attachments/ATA 2025.04.03.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 12/2025 de 27 de março - Reunião Ordinária,https://cmfdoc.funchal.pt/media/k2/attachments/ATA 2025.03.27.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 11/2025 de 20 de março - Reunião Ordinária,https://cmfdoc.funchal.pt/media/k2/attachments/ATA 2025.03.20.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 10/2025 de 13 de março - Reunião Ordinária,https://cmfdoc.funchal.pt/media/k2/attachments/ATA 2025.03.13.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 9/2025 de 6 de março - Reunião Ordinária,https://cmfdoc.funchal.pt/media/k2/attachments/ATA 2025.03.06.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
